M,type,method,option,estimate,variance,std_error,ci_low,ci_high
150,delta,FD_eps_0.5,digital,0.007459110767666964,0.05693146523726605,0.0010565525258814125,0.005388267816939396,0.009529953718394532
150,delta,FD_eps_1.0,call,0.5846802064959056,0.2790706825172674,0.0023392251210615114,0.5800953252586251,0.5892650877331861
150,delta,FD_eps_1.0,digital,0.007059515547970519,0.028203652260544845,0.0007436482968597776,0.0056019648861253555,0.008517066209815684
150,delta,FD_eps_2.0,call,0.5842380653511791,0.26854789383249433,0.002294699321721199,0.5797404546806055,0.5887356760217526
150,delta,FD_eps_2.0,digital,0.006450608546528319,0.014105908457236119,0.0005259148603509536,0.00541981542024045,0.0074814016728161885
150,delta,FD_eps_5.0,call,0.5805347155063334,0.23656568164024178,0.002153727646955307,0.576313409318301,0.5847560216943658
150,delta,FD_eps_5.0,digital,0.006749353544110899,0.005238217289712103,0.000320484231960843,0.006121204449467647,0.007377502638754151
250,price,MC,call,5.479979111954919,61.875993968698175,0.03483180706911378,5.411708770099456,5.548249453810382
250,price,MC,digital,0.293512203038936,0.19869208907166383,0.00197380934112965,0.2896435367303219,0.2973808693475501
250,delta,malliavin_A,call,0.6011522277523687,57.64680824278265,0.03362037437905615,0.5352562939694185,0.6670481615353188
250,delta,malliavin_A,digital,0.008164459924128667,0.17747627119146817,0.0018654562139346017,0.004508165744816847,0.011820754103440486
250,delta,malliavin_B,call,0.5719583556501241,1.8781178932790394,0.006068429866504766,0.5600642331117748,0.5838524781884734
250,delta,malliavin_B,digital,0.00791582210678244,0.0009852589005903223,0.00013899209320086974,0.007643397604108735,0.008188246609456145
250,delta,FD_eps_0.25,call,0.5758178402415028,0.28678985758227943,0.002371356266112076,0.5711699819599232,0.5804656985230825
250,delta,FD_eps_0.25,digital,0.010884212650779344,0.11348641424878728,0.0014917184080112944,0.007960444571077207,0.013807980730481482
250,delta,FD_eps_0.5,call,0.5757556287027658,0.2840630008617477,0.0023600556692576244,0.5711299195910208,0.5803813378145107
250,delta,FD_eps_0.5,digital,0.008638868082961229,0.05739259782318647,0.0010608228199641056,0.006559655355831582,0.010718080810090876
250,delta,FD_eps_1.0,call,0.5755244561076921,0.27864430445017835,0.0023374374457402268,0.5709430787140413,0.5801058335013429
250,delta,FD_eps_1.0,digital,0.00870546728624397,0.028560879767475993,0.0007483430031360396,0.007238715000097332,0.010172219572390607
250,delta,FD_eps_2.0,call,0.5748423073139913,0.2676118811688974,0.002290696790853263,0.5703525416039189,0.5793320730240638
250,delta,FD_eps_2.0,digital,0.00920020422491576,0.014097498581264632,0.0005257580629996182,0.008169718421436508,0.010230690028395011
250,delta,FD_eps_5.0,call,0.5712364204655669,0.23540713052950488,0.002148447367010377,0.5670254636262265,0.5754473773049072
250,delta,FD_eps_5.0,digital,0.0080775319410067,0.00517272764791496,0.0003184745395036439,0.007453321843579558,0.008701742038433843
