kind,M,N,method,option,estimate,variance,ci_width
delta,150,11000,FD_eps_1.0,call,0.5863213861434813,0.27969068937586344,0.019766452317052208
delta,150,11000,FD_eps_1.0,digital,0.006307895968065302,0.027766192127875396,0.006227989714432044
price,150,13000,MC,call,5.676326917184897,64.59305905523942,0.2763168168643251
price,150,13000,MC,digital,0.2936717483830639,0.1987646303363091,0.01532794535781934
delta,150,13000,malliavin_A,call,0.5678734279844175,36.10462981652358,0.206583598949233
delta,150,13000,malliavin_A,digital,0.005048619575528276,0.10563004565169383,0.011173986044181052
delta,150,13000,malliavin_B,call,0.5891206889706118,2.034031091685252,0.04903353277038103
delta,150,13000,malliavin_B,digital,0.007229951908266818,0.0009598536204543518,0.0010651650169502362
delta,150,13000,FD_eps_1.0,call,0.5852756449488435,0.27952937564388103,0.018177247396537588
delta,150,13000,FD_eps_1.0,digital,0.006382545624492111,0.028160032705995486,0.0057694042258305545
price,150,15000,MC,call,5.601014799925547,63.44186649171749,0.25493438335623075
price,150,15000,MC,digital,0.29326864023835914,0.19860798723438605,0.014263916654828623
delta,150,15000,malliavin_A,call,0.5638399520472887,35.98975147646695,0.19201265879935825
delta,150,15000,malliavin_A,digital,0.006049245925228574,0.10609278670118506,0.010425175290501004
delta,150,15000,malliavin_B,call,0.5748507616450995,1.9482559198301501,0.044674884641878965
delta,150,15000,malliavin_B,digital,0.007138706429128748,0.000950084640926122,0.000986555645544205
delta,150,15000,FD_eps_1.0,call,0.5819789291241944,0.27917139348687997,0.016911257199228258
delta,150,15000,FD_eps_1.0,digital,0.006501985074775005,0.028447997864201872,0.0053984152883383065
price,150,17000,MC,call,5.664863833541685,64.14109335996967,0.24078519802642795
price,150,17000,MC,digital,0.29581463263813934,0.19957743196807703,0.013431277479854176
delta,150,17000,malliavin_A,call,0.5920111459204891,37.155779915248665,0.1832630023458215
delta,150,17000,malliavin_A,digital,0.005933000743302833,0.10751345082804617,0.009858095182921224
delta,150,17000,malliavin_B,call,0.5841195829785463,1.974105374439152,0.042242223667085854
delta,150,17000,malliavin_B,digital,0.007312135221078539,0.000955359714027606,0.000929276743103247
delta,150,17000,FD_eps_1.0,call,0.5876311139143702,0.27865360483756935,0.015870621681318253
delta,150,17000,FD_eps_1.0,digital,0.007078543891765588,0.028730800451517564,0.0050960709897758735
price,150,19000,MC,call,5.679383299043872,64.12716301307718,0.2277352615514392
price,150,19000,MC,digital,0.29762032231511354,0.2002569960709157,0.012726328085847727
delta,150,19000,malliavin_A,call,0.5862527931542938,37.01741713748725,0.17302638051092
delta,150,19000,malliavin_A,digital,0.0060522358715313935,0.1074333360935513,0.009321349619211595
delta,150,19000,malliavin_B,call,0.5842960346868623,1.9713672482906248,0.03992942305469338
delta,150,19000,malliavin_B,digital,0.007312225159808332,0.0009594746199460068,0.0008808987874216676
delta,150,19000,FD_eps_1.0,call,0.589833139860357,0.2785211554492083,0.015008537014671752
delta,150,19000,FD_eps_1.0,digital,0.00651220029091762,0.028645742276537312,0.004813259832665019
price,150,21000,MC,call,5.676486361389931,64.083533745322,0.21654574057054
price,150,21000,MC,digital,0.2965404280371799,0.19984962509358414,0.01209283392489724
delta,150,21000,malliavin_A,call,0.5881531054505803,37.08889430415429,0.16473973491184957
delta,150,21000,malliavin_A,digital,0.005343837651579637,0.10667171820197897,0.008834888337286899
delta,150,21000,malliavin_B,call,0.5838904028089228,1.974837236647763,0.03801386896861536
delta,150,21000,malliavin_B,digital,0.007347888099472994,0.0009618422760634651,0.0008389350718648256
delta,150,21000,FD_eps_1.0,call,0.5888654597441736,0.27871516788510226,0.01428093760392235
delta,150,21000,FD_eps_1.0,digital,0.0064003193522127804,0.028717856151096857,0.004584082526267309
price,150,23000,MC,call,5.680388926850107,64.04814368012933,0.20685947709226227
price,150,23000,MC,digital,0.2967031735614395,0.1999101881182466,0.011556853631353614
delta,150,23000,malliavin_A,call,0.5929092584560502,37.04117845171337,0.15731297585447823
delta,150,23000,malliavin_A,digital,0.0058400512963937895,0.10671430534457563,0.008443713127288942
delta,150,23000,malliavin_B,call,0.5840450335477201,1.9608280347591653,0.03619444343213307
delta,150,23000,malliavin_B,digital,0.007420620851290433,0.0009639885422404625,0.0008025241032675497
delta,150,23000,FD_eps_1.0,call,0.5890239402111982,0.27885617596376233,0.013649359823066698
delta,150,23000,FD_eps_1.0,digital,0.006118026189762334,0.028626213221723807,0.004373247936629055
price,150,25000,MC,call,5.668224800549841,64.00849268638491,0.19835121396311806
price,150,25000,MC,digital,0.2968786976231596,0.19997564403743137,0.011086759195611307
delta,150,25000,malliavin_A,call,0.5843756918025836,37.15324743086341,0.15111739295284576
delta,150,25000,malliavin_A,digital,0.006475859906012897,0.10675348234216844,0.008100411621794777
delta,150,25000,malliavin_B,call,0.5835709518585979,1.9731962665772003,0.03482580830977611
delta,150,25000,malliavin_B,digital,0.007405788305819804,0.0009605766578578808,0.0007683906598939718
delta,150,25000,FD_eps_1.0,call,0.5883245781420567,0.27882579369052496,0.01309129279508503
delta,150,25000,FD_eps_1.0,digital,0.006133215772026572,0.028612005256136854,0.004193630968828333
price,150,27000,MC,call,5.649578737715335,63.78885460360334,0.19053579962839073
price,150,27000,MC,digital,0.2963812544311481,0.19978741614596204,0.010663217066271269
